uuid;style;artist;title_music;lastfm_music_url;lastfm_artist_url;videoID_youtube;chroma_stft;mfcc;spec_cent;spec_bw;zcr;spec_rolloff
7b43f782;country;Johnny Cash;Hurt;https://www.last.fm/music/johnny%2bcash;https://www.last.fm/music/johnny%2bcash/_/hurt;vt1Pwfnh5pc;0.3130266913333343;-1.1460498472944978;1207.6810338771895;1577.5799670933625;0.049980123500631315;2354.7438520951705
34a5b042;country;Johnny Cash;I Walk the Line;https://www.last.fm/music/johnny%2bcash;https://www.last.fm/music/johnny%2bcash/_/i%2bwalk%2bthe%2bline;Lq0fUa0vW_E;0.3141511502659197;-5.267491651838999;1701.518806393204;2098.267023884602;0.061325470696489234;3637.5841289792434
0789d24d;country;Johnny Cash;Ring of Fire;https://www.last.fm/music/johnny%2bcash;https://www.last.fm/music/johnny%2bcash/_/ring%2bof%2bfire;mIBTg7q9oNc;0.3156338079096424;-1.1462342319220509;1714.923377265204;1773.37604732691;0.08995492831222428;3372.14955831636
89eff56b;country;Avicii;Wake Me Up;https://www.last.fm/music/avicii;https://www.last.fm/music/avicii/_/wake%2bme%2bup;IcrbM1l_BoI;0.39683019430536703;-6.231289656849395;2629.1650511847;2545.151213140797;0.13154673052134822;5569.5857436689075
1686c8a0;country;Mumford & Sons;I Will Wait;https://www.last.fm/music/mumford%2b%2526%2bsons;https://www.last.fm/music/mumford%2b%2526%2bsons/_/i%2bwill%2bwait;rGKfrgqWcv0;0.3952683878341452;-2.484672011929857;1977.1092398881813;2048.823384043884;0.09809744569005577;4002.0834852027183
88727396;country;Taylor Swift;Love Story;https://www.last.fm/music/taylor%2bswift;https://www.last.fm/music/taylor%2bswift/_/love%2bstory;8xg3vE8Ie_E;0.3578806612127566;-6.920076715663337;2531.7227284249952;2638.388931378921;0.11847531423338405;5393.278860844543
5c18aec0;country;Amy Macdonald;This Is the Life;https://www.last.fm/music/amy%2bmacdonald;https://www.last.fm/music/amy%2bmacdonald/_/this%2bis%2bthe%2blife;iRYvuS9OxdA;0.3139967650998669;-4.291466578808384;1998.388465949561;2317.128993458559;0.0815053775131766;4331.133591506094
54ba6256;country;Lily Allen;Not Fair;https://www.last.fm/music/lily%2ballen;https://www.last.fm/music/lily%2ballen/_/not%2bfair;fUYaosyR4bE;0.4051105924407443;-1.411677764705752;2663.141633515017;2655.949233882414;0.12206098478659765;5737.3126160563925
701b67ba;country;Johnny Cash;Folsom Prison Blues;https://www.last.fm/music/johnny%2bcash;https://www.last.fm/music/johnny%2bcash/_/folsom%2bprison%2bblues;_Xyp63MaSBs;0.3325387153926421;-4.270140011925723;2103.9045214843973;2233.999794784315;0.08913232946908603;4359.626137707429
3aeaf142;country;Lady Antebellum;Need You Now;https://www.last.fm/music/lady%2bantebellum;https://www.last.fm/music/lady%2bantebellum/_/need%2byou%2bnow;eM213aMKTHg;0.32825116511767033;-2.3320920530383242;1861.5730209871122;2092.6809600214465;0.08573597843446185;3901.3160089202174
